Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;1002;Nordtvet skole;FI;Feministisk Initiativ;0,04482;4992;2254;1
03;Oslo;0301;Oslo;1002;Nordtvet skole;Andre;Andre;1,79292;4992;2254;40
03;Oslo;0301;Oslo;1002;Nordtvet skole;Andre2;Andre2;0,0;4992;2254;0
03;Oslo;0301;Oslo;1003;Ammerud skole;A;Arbeiderpartiet;47,79504;6350;2393;1138
03;Oslo;0301;Oslo;1003;Ammerud skole;SV;Sosialistisk Venstreparti;9,15582;6350;2393;218
03;Oslo;0301;Oslo;1003;Ammerud skole;RØDT;Rødt;6,00588;6350;2393;143
03;Oslo;0301;Oslo;1003;Ammerud skole;SP;Senterpartiet;2,05796;6350;2393;49
03;Oslo;0301;Oslo;1003;Ammerud skole;KRF;Kristelig Folkeparti;1,55397;6350;2393;37
03;Oslo;0301;Oslo;1003;Ammerud skole;MDG;Miljøpartiet De Grønne;3,02394;6350;2393;72
03;Oslo;0301;Oslo;1003;Ammerud skole;V;Venstre;3,94792;6350;2393;94
03;Oslo;0301;Oslo;1003;Ammerud skole;H;Høyre;14,44771;6350;2393;344
03;Oslo;0301;Oslo;1003;Ammerud skole;FRP;Fremskrittspartiet;10,2058;6350;2393;243
03;Oslo;0301;Oslo;1003;Ammerud skole;ALLI;Alliansen;0,25199;6350;2393;6
03;Oslo;0301;Oslo;1003;Ammerud skole;DEMN;Demokratene i Norge;0,084;6350;2393;2
03;Oslo;0301;Oslo;1003;Ammerud skole;HELSE;Helsepartiet;0,29399;6350;2393;7
03;Oslo;0301;Oslo;1003;Ammerud skole;KRISTNE;Partiet De Kristne;0,126;6350;2393;3
03;Oslo;0301;Oslo;1003;Ammerud skole;LIBS;Liberalistene;0,126;6350;2393;3
03;Oslo;0301;Oslo;1003;Ammerud skole;NKP;Norges Kommunistiske Parti;0,042;6350;2393;1
03;Oslo;0301;Oslo;1003;Ammerud skole;PIR;Piratpartiet;0,21;6350;2393;5
